Company Name,Website,HQ Location,Industry / Category,Company Type,AAPI Relevance,AAPI Notes,Source,Date Added
Tower 28 Beauty,https://www.tower28beauty.com,"Santa Monica, CA",Beauty,Product Donor (Large),High,"Founded by Amy Liu, a Chinese American entrepreneur, the brand is named after a Santa Monica lifeguard tower.",https://www.tower28beauty.com,2026-04-02
Sandy Liang,https://www.sandyliang.com,"New York, NY",Fashion,Product Donor (Small Biz),High,"Founded by Sandy Liang, the brand draws inspiration from her Chinese heritage and the style of grandmothers in NYC Chinatown.",https://www.sandyliang.com,2026-04-02
Colgate-Palmolive,https://www.colgatepalmolive.com,"New York, NY",Consumer Goods,Corporate Sponsor,Low,Global consumer goods company with general diversity and inclusion programs.,https://www.colgatepalmolive.com,2026-04-02
Omsom,https://omsom.com,"New York, NY",Food & Beverage,Product Donor (Small Biz),High,"AAPI-owned brand specializing in Asian starter pantry kits, founded by Vietnamese-American sisters.",https://omsom.com,2026-04-02
Hand Hospitality,https://www.handhospitality.com/,"New York, NY",Hospitality,Restaurant / F&B,High,"Founded by Kihyun Lee, this group specializes in Korean-focused concepts and actively promotes Asian-American culinary innovation.",https://www.handhospitality.com/,2026-04-02
Momofuku Group,https://momofuku.com/,"New York, NY",Hospitality,Restaurant / F&B,High,"Founded by David Chang, the group is a pioneer of the modern Asian-American food movement and operates several high-profile restaurants and a CPG line.",https://momofuku.com/,2026-04-02
JPMorgan Chase & Co.,https://www.jpmorganchase.com/impact,"New York, NY",Financial Services,Corporate Sponsor,High,"Invests in AAPI small businesses through capital access, hosts AAPI Heritage Month events, and funds programs to address anti-Asian sentiment and racial injustice.",https://www.jpmorganchase.com/impact,2026-04-02
Pfizer Inc.,https://www.pfizer.com/responsibility,"New York, NY",Pharmaceuticals,Product Donor (Large),Medium,Donates millions of prescriptions and vaccines globally and supports health equity initiatives that benefit AAPI communities through the Pfizer Foundation.,https://www.pfizer.com/responsibility,2026-04-02
MáLà Project,https://www.malaproject.nyc/,"New York, NY",Food & Beverage,Restaurant / F&B,High,"Founded by Chinese American entrepreneur Amelie Kang, this restaurant chain specializes in authentic Sichuan dry pot with multiple locations in NYC.",https://www.malaproject.nyc/,2026-04-02
Omsom,https://omsom.com/,"New York, NY",Food & Beverage,Product Donor (Small Biz),High,A food startup founded by Vietnamese American sisters Vanessa and Kim Pham that creates authentic Asian pantry starters.,https://omsom.com/,2026-04-02
Samsung Electronics America,https://www.samsung.com,"Ridgefield Park, New Jersey",Consumer Electronics,Corporate Sponsor,High,"US headquarters for the South Korean multinational electronics corporation, managing North American sales, marketing, and community operations.",https://www.samsung.com,2026-04-02
Toyota Motor North America,https://www.toyota.com,"Plano, Texas",Automotive,Corporate Sponsor,High,"North American headquarters for the Japanese automotive manufacturer, centralizing its engineering, sales, and financial services in the United States.",https://www.toyota.com,2026-04-02
Abacus Federal Savings Bank,https://www.abacusbank.com/,"New York, NY",Banking,Corporate Sponsor,High,"Founded by Chinese-American leaders to serve immigrants, provides community development grants to local Chinese non-profits in NYC.",https://www.abacusbank.com/,2026-04-02
Cathay Bank,https://www.cathaybank.com/,"Los Angeles, CA",Banking,Corporate Sponsor,High,Major Chinese-American bank with a foundation that provides community development grants to LMI and AAPI communities in NYC.,https://www.cathaybank.com/,2026-04-02
"Eastbank, N.A.",https://www.eastbank-na.com/,"New York, NY",Banking,Corporate Sponsor,High,Community bank established in 1983 specifically to serve the Asian American communities of New York City.,https://www.eastbank-na.com/,2026-04-02
Global Bank NY,https://www.globalbankny.com/,"New York, NY",Banking,Corporate Sponsor,High,Locally owned commercial bank formed by Chinese-American business leaders to serve the New York community.,https://www.globalbankny.com/,2026-04-02
